City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Umm Kaddadah,SD,13.6017,26.6876,289.61,31,0,5.95,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,288.15,44,20,9.77,few clouds
2,Pangnirtung,CA,66.1451,-65.7125,264.15,73,75,1.03,broken clouds
3,Rio Grande,BR,-32.035,-52.0986,302.15,51,0,3.6,clear sky
4,Dzerzhinskoye,RU,56.8344,95.2283,266.01,96,99,2.39,overcast clouds
5,Southampton,GB,50.904,-1.4043,278.71,86,100,2.24,light rain
6,Sakakah,SA,29.9697,40.2064,283.15,71,0,4.12,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,293.15,77,96,2.06,overcast clouds
8,Masindi,UG,1.6744,31.715,295.77,33,13,1.58,few clouds
9,Kapaa,US,22.0752,-159.319,296.15,49,1,2.06,clear sky
10,Burnie,AU,-41.0667,145.9167,290.93,85,42,2.24,scattered clouds
11,Levokumka,RU,44.2317,43.15,274.15,93,90,3.0,snow
12,Sawtell,AU,-30.3833,153.1,296.15,83,40,3.6,scattered clouds
13,Caravelas,BR,-17.7125,-39.2481,298.55,90,100,4.23,overcast clouds
14,Albany,US,42.6001,-73.9662,275.15,30,20,6.69,few clouds
15,Castro,BR,-24.7911,-50.0119,295.97,62,0,1.39,clear sky
16,Ostrovnoy,RU,68.0531,39.5131,261.11,93,100,4.55,light snow
17,Hilo,US,19.7297,-155.09,299.15,50,1,2.57,clear sky
18,Alugan,PH,12.2188,125.4808,299.76,85,91,6.64,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,291.25,64,0,0.83,clear sky
20,Pangai,TO,-19.8,-174.35,299.15,100,90,1.03,moderate rain
21,Ribeira Grande,PT,38.5167,-28.7,289.15,88,75,8.23,broken clouds
22,Teguise,ES,29.0605,-13.564,288.15,77,40,5.14,scattered clouds
23,College,US,64.8569,-147.8028,251.48,71,90,0.77,mist
24,Xingcheng,CN,40.6167,120.7167,267.16,79,0,4.46,clear sky
25,Buriti Alegre,BR,-18.14,-49.0403,297.5,89,27,1.94,scattered clouds
26,General Roca,AR,-39.0333,-67.5833,305.15,37,0,1.54,clear sky
27,Mukhen,RU,48.1,136.1,247.19,88,99,0.68,overcast clouds
28,Xingyi,CN,24.1877,102.817,281.94,96,4,1.49,clear sky
29,Mahebourg,MU,-20.4081,57.7,298.15,83,20,2.57,few clouds
30,Saint-Augustin,CA,51.226,-58.6502,273.53,97,100,11.81,snow
31,Lompoc,US,34.6391,-120.4579,295.93,28,1,2.51,clear sky
32,Loandjili,CG,-4.7561,11.8578,301.15,83,20,3.09,moderate rain
33,San Quintin,MX,30.4833,-115.95,291.49,58,0,3.76,clear sky
34,Rikitea,PF,-23.1203,-134.9692,298.68,72,100,5.17,light rain
35,Georgetown,MY,5.4112,100.3354,300.15,83,20,2.06,few clouds
36,Jiangyou,CN,31.7667,104.7167,281.79,61,98,1.76,overcast clouds
37,Kondopoga,RU,62.2057,34.2614,262.15,85,100,4.0,light snow
38,Tiznit,MA,29.5833,-9.5,282.77,80,25,6.97,scattered clouds
39,Matara,LK,5.9485,80.5353,296.72,88,100,3.95,overcast clouds
40,East London,ZA,-33.0153,27.9116,297.24,86,10,1.49,clear sky
41,Tak Bai,TH,6.2595,102.0546,297.15,88,20,1.03,few clouds
42,Jamestown,US,42.097,-79.2353,267.15,49,1,7.72,clear sky
43,Zwedru,LR,6.0667,-8.1281,298.27,88,79,2.38,moderate rain
44,Vila Do Maio,CV,15.1333,-23.2167,294.15,60,75,9.26,broken clouds
45,Nelson Bay,AU,-32.7167,152.15,295.15,94,40,6.69,scattered clouds
46,Barrow,US,71.2906,-156.7887,254.15,71,90,4.12,mist
47,Hobart,AU,-42.8794,147.3294,289.15,67,75,7.2,broken clouds
48,Cairns,AU,-16.9167,145.7667,300.15,83,40,1.03,scattered clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,303.15,66,0,5.66,clear sky
50,Bambous Virieux,MU,-20.3428,57.7575,298.15,83,20,2.57,few clouds
51,Cape Town,ZA,-33.9258,18.4232,295.93,78,20,5.14,few clouds
52,Belomorsk,RU,64.5232,34.7668,266.95,97,100,4.35,light snow
53,Nikolskoye,RU,59.7035,30.7861,260.93,78,72,7.0,snow
54,Harnai,PK,30.1005,67.9374,285.0,37,0,0.36,clear sky
55,Port Alfred,ZA,-33.5906,26.891,293.71,93,67,2.68,broken clouds
56,Nuuk,GL,64.1835,-51.7216,271.15,50,40,8.23,scattered clouds
57,Ushuaia,AR,-54.8,-68.3,285.15,76,40,8.23,scattered clouds
58,Nenjiang,CN,49.1833,125.2167,247.57,85,19,1.98,few clouds
59,Port Lincoln,AU,-34.7333,135.8667,289.33,72,80,5.06,broken clouds
60,Lezhe,AL,41.7836,19.6436,280.15,93,0,1.54,clear sky
61,Yellowknife,CA,62.456,-114.3525,238.71,67,1,1.55,clear sky
62,Odweyne,SO,9.4092,45.064,292.99,58,0,3.38,clear sky
63,Atuona,PF,-9.8,-139.0333,299.99,78,100,9.81,overcast clouds
64,Iquitos,PE,-3.7481,-73.2472,303.15,70,40,3.09,heavy intensity rain
65,Alibag,IN,18.6411,72.8792,300.15,32,23,3.6,smoke
66,Sabaudia,IT,41.3003,13.0282,288.71,63,0,0.89,clear sky
67,Hermanus,ZA,-34.4187,19.2345,293.15,89,82,2.43,broken clouds
68,Guerrero Negro,MX,27.9769,-114.0611,295.9,32,5,3.13,clear sky
69,Haines Junction,CA,60.7522,-137.5108,250.15,54,94,0.14,overcast clouds
70,Butaritari,KI,3.0707,172.7902,300.4,81,99,9.81,light rain
71,Chuy,UY,-33.6971,-53.4616,299.22,62,0,2.98,clear sky
72,Puerto Baquerizo Moreno,EC,-0.9,-89.6,302.15,84,20,6.17,few clouds
73,Conceicao Do Araguaia,BR,-8.2578,-49.2647,298.46,91,96,1.55,overcast clouds
74,Gunjur,GM,13.2019,-16.7339,296.15,53,0,4.63,clear sky
75,Cheney,US,47.4874,-117.5758,279.82,56,75,11.83,broken clouds
76,Komsomolskiy,UZ,40.4272,71.7189,278.15,52,100,2.06,overcast clouds
77,Akyab,MM,20.15,92.9,290.33,65,0,4.01,clear sky
78,Pasni,PK,25.2631,63.471,292.79,51,0,2.32,clear sky
79,Busselton,AU,-33.65,115.3333,287.59,96,100,1.34,light rain
80,Tasiilaq,GL,65.6145,-37.6368,274.15,64,75,15.43,light rain
81,Adrar,MR,20.5022,-10.0711,288.98,33,100,4.85,overcast clouds
82,Aklavik,CA,68.2191,-135.0107,241.15,75,90,1.54,light snow
83,Baiyin,CN,36.5583,104.2081,272.59,32,0,4.0,clear sky
84,Kodiak,US,57.79,-152.4072,276.15,60,1,4.63,clear sky
85,Lazaro Cardenas,MX,17.9583,-102.2,300.79,60,0,3.72,clear sky
86,Naifaru,MV,5.4444,73.3657,300.56,74,2,3.63,clear sky
87,Jasper,US,37.2001,-94.3502,273.15,80,90,4.63,light rain
88,Talara,PE,-4.5772,-81.2719,304.15,51,0,4.12,clear sky
89,Yar-Sale,RU,66.8333,70.8333,238.25,84,100,6.39,overcast clouds
90,Zalantun,CN,48.0,122.7167,250.94,83,0,2.9,clear sky
91,Touros,BR,-5.1989,-35.4608,301.15,69,40,4.63,scattered clouds
92,Podyuga,RU,61.095,40.8647,251.48,90,100,3.51,overcast clouds
93,New Norfolk,AU,-42.7826,147.0587,288.71,68,82,0.45,broken clouds
94,Lorengau,PG,-2.0226,147.2712,300.95,75,97,1.57,overcast clouds
95,Namatanai,PG,-3.6667,152.4333,299.83,77,74,1.4,broken clouds
96,Nouadhibou,MR,20.931,-17.0347,291.15,63,0,8.75,sand
97,Alyangula,AU,-13.8483,136.4192,300.15,89,90,6.69,moderate rain
98,Tiksi,RU,71.6872,128.8694,240.62,85,100,2.68,overcast clouds
99,Batyrevo,RU,55.0675,47.6111,254.41,90,100,5.96,overcast clouds
100,Norman Wells,CA,65.282,-126.8329,237.15,68,75,2.06,broken clouds
101,Kaeo,NZ,-35.1,173.7833,292.04,91,97,0.89,overcast clouds
102,San Policarpo,PH,12.1791,125.5072,300.02,84,88,7.04,overcast clouds
103,Port Hardy,CA,50.6996,-127.4199,279.15,81,75,7.2,broken clouds
104,Cidreira,BR,-30.1811,-50.2056,297.31,68,8,3.55,clear sky
105,Chokurdakh,RU,70.6333,147.9167,242.55,87,43,2.51,scattered clouds
106,Riachao Das Neves,BR,-11.7461,-44.91,296.85,76,100,1.12,moderate rain
107,Atambua,ID,-9.1061,124.8925,296.46,90,97,0.4,overcast clouds
108,Itarema,BR,-2.9248,-39.9167,300.29,75,28,5.84,scattered clouds
109,Kruisfontein,ZA,-34.0033,24.7314,294.26,79,2,1.34,clear sky
110,Half Moon Bay,US,37.4636,-122.4286,292.04,63,1,1.75,haze
111,Geraldton,AU,-28.7667,114.6,294.15,88,75,8.75,light rain
